Date,Close,Volume,Open,High,Low,PorportionalChange,PercentChange,cumChange5Days
12/27/2019,322.86,42554820,323.74,323.8,322.28,0.999752275964575,-0.0247724035424501,0.00610782175132174
12/30/2019,321.08,49782730,322.95,323.1,320.55,0.994486774453323,-0.551322554667666,0.0010912605618405
12/31/2019,321.86,57107000,320.53,322.13,320.15,1.00242930110876,0.242930110875794,0.00199240395990263
01/02/2020,324.87,59253830,323.54,324.89,322.53,1.00935189212701,0.935189212701171,0.0113314447592083
01/03/2020,322.41,77783120,321.16,323.64,321.1,0.9924277403269,-0.757225967309993,-0.00164117173468814
01/06/2020,323.64,55761950,320.49,323.73,320.36,1.0038150181446,0.381501814459839,0.00241590782382572
01/07/2020,322.73,42854810,323.02,323.54,322.24,0.997188233840069,-0.281176615993073,0.00513890619160473
01/08/2020,324.45,68434150,322.94,325.78,322.67,1.00532953242649,0.532953242648637,0.00804697694650125
01/09/2020,326.65,48569600,326.16,326.73,325.52,1.00678070580983,0.678070580983192,0.00547911472281459
01/10/2020,325.71,53057390,327.29,327.46,325.2,0.997122302158273,-0.287769784172665,0.0102354145342909
01/13/2020,327.95,47262010,326.39,327.96,325.92,1.00687728347303,0.687728347302818,0.0133172660981362
01/14/2020,327.45,63036380,327.47,328.62,326.844,0.998475377344107,-0.15246226558927,0.0146252285191979
01/15/2020,328.19,72056600,327.35,329.02,327.26,1.00225988700565,0.225988700564983,0.0115271998767139
01/16/2020,330.92,54050330,329.7,330.92,329.45,1.00831835217405,0.831835217404553,0.0130720955150834
01/17/2020,331.95,95846020,331.7,332.18,330.8539,1.0031125347516,0.311253475160145,0.0191581468177258
01/21/2020,331.3,77742420,330.9,332.18,330.82,0.998041873776171,-0.195812622382885,0.0102149717944835
01/22/2020,331.34,48914900,332.24,332.95,331.17,1.0001207364926,0.01207364926048,0.0118796762864539
01/23/2020,331.72,51962990,330.63,332.1682,329.41,1.00114685821211,0.114685821210858,0.0107559645327393
01/24/2020,328.77,87578440,332.44,332.53,327.36,0.991106957675148,-0.889304232485244,-0.00649703855917327
01/27/2020,323.5,84062460,323.03,325.12,322.66,0.983970556924294,-1.60294430757064,-0.0254556409097781
01/28/2020,326.89,63833950,325.06,327.85,323.6038,1.01047913446677,1.04791344667696,-0.0133111983096914
01/29/2020,326.62,54040890,328.38,328.63,326.4,0.999174034078742,-0.0825965921257832,-0.0142451862135546
01/30/2020,327.68,75491840,324.36,327.91,323.54,1.00324536158227,0.324536158226696,-0.0121789460991156
01/31/2020,321.73,113845600,327,327.17,320.73,0.981842041015625,-1.8157958984375,-0.0214131459683023
02/03/2020,324.12,69242290,323.35,326.16,323.22,1.00742858918969,0.742858918969325,0.0019165378670789
02/04/2020,329.06,62573190,328.07,330.01,327.72,1.01524126866593,1.52412686659262,0.0066383187004837
02/05/2020,332.86,65951150,332.27,333.09,330.67,1.01154804594907,1.15480459490671,0.0191047700692004
02/06/2020,333.98,50359690,333.91,334.19,332.8,1.00336477798474,0.336477798473833,0.0192260742187551
02/07/2020,332.2,64139440,332.82,333.9941,331.6,0.99467033954129,-0.532966045871019,0.0325428154042264
02/10/2020,334.68,42070010,331.23,334.75,331.19,1.00746538229982,0.746538229981941,0.0325805257312202
02/11/2020,335.26,54864530,336.16,337.02,334.684,1.00173299868531,0.17329986853114,0.0188415486537454
02/12/2020,337.42,43992660,336.83,337.65,336.43,1.00644276084233,0.644276084233142,0.0136994532235775
02/13/2020,337.06,54501920,335.862,338.12,335.56,0.998933080433881,-0.106691956611937,0.00922210910832866
02/14/2020,337.6,64582210,337.51,337.73,336.2,1.00160208864891,0.160208864890521,0.0162552679109007
02/18/2020,336.73,57342530,336.51,337.6677,335.21,0.997422985781991,-0.257701421800949,0.00612525397394825
02/19/2020,338.34,48814690,337.79,339.08,337.48,1.00478127876934,0.47812787693402,0.00918689971962472
02/20/2020,336.95,74163360,337.7423,338.64,333.6817,0.995891706567358,-0.410829343264163,-0.00139292276687319
02/21/2020,333.48,113788200,335.47,335.81,332.58,0.989701736162635,-1.02982638373645,-0.0106212543760713
02/24/2020,322.42,161088400,323.14,333.5623,321.24,0.966834592779177,-3.31654072208228,-0.0449644549763041
02/25/2020,312.65,218913200,323.94,324.61,311.69,0.96969790955896,-3.03020904410397,-0.0715112998544843
02/26/2020,311.5,194773800,314.18,318.11,310.7,0.996321765552535,-0.367823444746518,-0.079328486138205
02/27/2020,297.51,284353500,305.46,311.5637,297.51,0.955088282504013,-4.49117174959872,-0.117050007419499
02/28/2020,296.26,385764000,288.7,297.892,285.54,0.995798460555948,-0.420153944405233,-0.111610891207868
03/02/2020,309.09,238703600,298.21,309.16,294.46,1.04330655505299,4.33065550529939,-0.0413435891073789
03/03/2020,300.24,300139100,309.5,313.84,297.57,0.971367562845773,-2.86324371542268,-0.0396929473852581
03/04/2020,312.86,176613400,306.12,313.1,303.33,1.04203304023448,4.20330402344791,0.00436597110754167
03/05/2020,302.46,186366800,304.98,308.47,300.01,0.966758294444799,-3.32417055552006,0.0166380961984436
03/06/2020,297.46,228667200,293.15,298.78,290.23,0.983468888448059,-1.65311115519408,0.0040504961857788
03/09/2020,274.23,309417300,275.3,284.19,273.45,0.921905466281181,-7.80945337188192,-0.112782684654955
03/10/2020,288.42,276444100,284.64,288.52,273.5,1.0517448856799,5.17448856799037,-0.0393685051958462
03/11/2020,274.36,256416600,280.7,281.94,270.88,0.951251646903821,-4.87483530961792,-0.123058236911082
03/12/2020,248.11,392220700,256,266.66,247.68,0.904322787578364,-9.56772124216359,-0.179693182569599
03/13/2020,269.32,329566100,263.09,271.4754,248.5237,1.08548627624844,8.54862762484381,-0.0946009547502197
03/16/2020,239.85,297240000,241.18,256.9,237.36,0.89057626615179,-10.942373384821,-0.125369215621924
03/17/2020,252.8,262070500,245.04,256.17,237.07,1.05399207838232,5.39920783823225,-0.123500450731572
03/18/2020,240,327597100,236.25,248.37,228.02,0.949367088607595,-5.06329113924051,-0.125236915002187
03/19/2020,240.51,289322000,239.25,247.38,232.22,1.002125,0.212499999999993,-0.0306315747047683
03/20/2020,228.8,347158800,242.53,244.47,228.5,0.951311795767328,-4.86882042326722,-0.150452992722413
03/23/2020,222.95,326025200,228.19,229.6833,218.26,0.974431818181818,-2.55681818181819,-0.0704607046070478
03/24/2020,243.15,235494500,234.42,244.1,233.8,1.09060327427674,9.06032742767438,-0.0381724683544336
03/25/2020,246.79,299430300,244.87,256.35,239.75,1.0149701830146,1.49701830146001,0.0282916666666633
03/26/2020,261.2,257632800,249.52,262.8,249.05,1.05838972405689,5.83897240568905,0.0860255290840257
03/27/2020,253.42,224341200,253.27,260.81,251.05,0.970214395099541,-2.97856049004595,0.107604895104891
03/30/2020,261.65,170961900,255.7,262.43,253.53,1.03247573198643,3.24757319864257,0.173581520520297
03/31/2020,257.75,194881100,260.56,263.33,256.22,0.98509459201223,-1.49054079877698,0.0600452395640594
04/01/2020,246.15,189554600,247.98,257.6591,243.9,0.954995150339476,-4.50048496605238,-0.0025932979456178
04/02/2020,251.83,177660400,245.19,252.68,244.59,1.02307536055251,2.30753605525087,-0.0358728943338384
04/03/2020,248.19,135561200,250.76,253.32,245.22,0.985545804709526,-1.44541952904738,-0.0206376765843217
04/06/2020,264.86,188061200,257.84,267,248.1698,1.0671662838954,6.71662838954028,0.012268297343778
04/07/2020,265.13,201427200,274.21,275.03,264.89,1.00101940647889,0.101940647889442,0.0286323957322923
04/08/2020,274.03,153774500,267.96,276,265.2542,1.03356843812469,3.35684381246935,0.113264269754204
04/09/2020,278.2,190282700,277.58,281.2,275.47,1.01521731197314,1.52173119731416,0.104713497200478
04/13/2020,275.66,114839100,277.14,277.51,271.41,0.990869877785766,-0.913012221423426,0.11068133284982
04/14/2020,283.79,134143400,280.98,284.9,275.5106,1.0294928535152,2.94928535151999,0.0714717209091498
04/15/2020,277.76,121775000,277.57,283.9407,275.46,0.978751894006131,-2.12481059938688,0.0476370082600936
04/16/2020,279.1,131798300,279.15,280.03,275.76,1.00482430875576,0.482430875576045,0.0185016239097893
04/17/2020,286.64,146684800,285.38,287.3,282.4,1.02701540666428,2.70154066642778,0.0303378864126547
04/20/2020,281.59,100109300,282.61,286.7912,281.35,0.982382082054145,-1.76179179458554,0.0215120075455291
04/21/2020,273.04,126385700,276.73,278.04,272.02,0.969636705848929,-3.03632941510705,-0.0378801226258839
04/22/2020,279.1,93524580,278.35,281,276.91,1.02219455024905,2.21945502490477,0.00482430875576423
04/23/2020,279.08,104709700,280.49,283.94,278.75,0.999928341096381,-0.00716589036189319,-7.16589036148241e-05
04/24/2020,282.97,85165950,280.73,283.7,278.5,1.01393865558263,1.39386555826289,-0.0128035166061926
04/27/2020,287.05,77896610,285.12,288.27,284.62,1.01441848959254,1.44184895925363,0.0193898931070062
04/28/2020,285.73,105270000,291.02,291.4,285.4,0.995401497996865,-0.459850200313527,0.0464767067096472
04/29/2020,293.21,118745600,291.53,294.88,290.41,1.02617856017919,2.617856017919,0.0505553565030508
04/30/2020,290.48,122901700,291.71,293.3239,288.59,0.990689267078203,-0.931073292179652,0.0408485022215903
